2024-10-20 21:50:08,dynamic,crosswalks
2024-10-20 21:50:24,Type2,bicycles
2024-10-20 21:50:31,Type1,stairs
2024-10-20 21:50:34,Type1,stairs
2024-10-20 21:50:37,Type1,stairs
2024-10-20 21:50:39,Type1,stairs
2024-10-20 21:50:42,Type1,stairs
2024-10-20 21:50:44,Type1,stairs
2024-10-20 21:50:47,Type1,stairs
2024-10-20 21:50:49,Type1,stairs
2024-10-20 21:50:51,Type1,stairs
2024-10-20 21:50:54,Type1,stairs
2024-10-20 21:50:56,Type1,stairs
2024-10-20 21:50:59,Type1,stairs
2024-10-20 21:51:01,Type1,stairs
2024-10-20 21:51:03,Type1,stairs
2024-10-20 21:51:06,Type1,stairs
2024-10-20 21:51:08,Type1,stairs
2024-10-20 21:51:11,Type1,stairs
2024-10-20 21:51:13,Type1,stairs
2024-10-20 21:51:16,Type1,stairs
2024-10-20 21:51:18,Type1,stairs
2024-10-20 21:51:20,Type1,stairs
2024-10-20 21:51:23,Type1,stairs
2024-10-20 21:51:25,Type1,stairs
2024-10-20 21:51:28,Type1,stairs
2024-10-20 21:51:30,Type1,stairs
2024-10-20 21:51:33,Type1,stairs
2024-10-20 21:51:35,Type1,stairs
2024-10-20 21:51:37,Type1,stairs
2024-10-20 21:51:40,Type1,stairs
2024-10-20 21:51:42,Type1,stairs
2024-10-20 21:51:45,Type1,stairs
2024-10-20 21:51:47,Type1,stairs
2024-10-20 21:51:49,Type1,stairs
2024-10-20 21:51:52,Type2,traffic lights
2024-10-20 21:52:09,Type2,motorcycles
2024-10-20 21:52:21,Type1,bus
2024-10-20 21:52:26,SOLVED,captcha solved
