2024-11-04 13:21:46,dynamic,cars
2024-11-04 13:22:15,Type1,traffic lights
2024-11-04 13:22:19,Type1,traffic lights
2024-11-04 13:22:22,Type1,traffic lights
2024-11-04 13:22:25,Type1,traffic lights
2024-11-04 13:22:29,Type1,traffic lights
2024-11-04 13:22:32,Type1,traffic lights
2024-11-04 13:22:36,Type1,traffic lights
2024-11-04 13:22:39,Type1,traffic lights
2024-11-04 13:22:42,Type1,traffic lights
2024-11-04 13:22:46,Type1,traffic lights
2024-11-04 13:22:49,Type1,traffic lights
2024-11-04 13:22:53,Type1,traffic lights
2024-11-04 13:22:56,Type1,traffic lights
2024-11-04 13:22:59,Type1,traffic lights
2024-11-04 13:23:03,Type1,traffic lights
2024-11-04 13:23:06,Type1,traffic lights
2024-11-04 13:23:09,Type1,traffic lights
2024-11-04 13:23:13,Type1,traffic lights
2024-11-04 13:23:16,Type1,traffic lights
2024-11-04 13:23:20,Type1,traffic lights
2024-11-04 13:23:23,Type1,traffic lights
2024-11-04 13:23:26,Type1,traffic lights
2024-11-04 13:23:30,Type1,traffic lights
2024-11-04 13:23:33,Type1,traffic lights
2024-11-04 13:23:36,Type1,traffic lights
2024-11-04 13:23:40,Type1,traffic lights
2024-11-04 13:23:43,Type1,traffic lights
2024-11-04 13:23:47,Type1,traffic lights
2024-11-04 13:23:50,Type1,traffic lights
2024-11-04 13:23:53,Type1,traffic lights
2024-11-04 13:23:57,Type1,traffic lights
2024-11-04 13:24:00,Type1,traffic lights
2024-11-04 13:24:04,Type1,traffic lights
2024-11-04 13:24:07,Type1,traffic lights
2024-11-04 13:24:10,Type1,traffic lights
2024-11-04 13:24:14,Type1,traffic lights
2024-11-04 13:24:17,Type1,traffic lights
2024-11-04 13:24:20,Type1,traffic lights
2024-11-04 13:24:24,Type1,traffic lights
2024-11-04 13:24:27,Type1,traffic lights
2024-11-04 13:24:30,Type1,traffic lights
2024-11-04 13:24:34,Type1,traffic lights
2024-11-04 13:24:37,Type1,traffic lights
2024-11-04 13:24:41,Type1,traffic lights
2024-11-04 13:24:44,Type1,traffic lights
2024-11-04 13:24:47,Type1,traffic lights
2024-11-04 13:24:51,Type1,traffic lights
2024-11-04 13:24:54,Type1,traffic lights
2024-11-04 13:24:57,Type1,traffic lights
2024-11-04 13:25:01,Type1,traffic lights
2024-11-04 13:25:04,Type1,traffic lights
2024-11-04 13:25:07,Type1,traffic lights
2024-11-04 13:25:11,Type1,traffic lights
2024-11-04 13:25:14,Type1,traffic lights
2024-11-04 13:25:18,Type1,traffic lights
2024-11-04 13:25:21,Type1,traffic lights
2024-11-04 13:25:24,Type1,traffic lights
2024-11-04 13:25:28,Type1,traffic lights
2024-11-04 13:25:31,Type1,traffic lights
2024-11-04 13:25:34,Type1,traffic lights
2024-11-04 13:25:38,Type1,traffic lights
2024-11-04 13:25:41,Type1,traffic lights
2024-11-04 13:25:45,Type1,traffic lights
2024-11-04 13:25:48,Type1,traffic lights
2024-11-04 13:25:51,Type1,traffic lights
2024-11-04 13:25:55,Type1,traffic lights
2024-11-04 13:25:58,Type1,traffic lights
2024-11-04 13:26:01,Type1,traffic lights
2024-11-04 13:26:05,Type1,traffic lights
2024-11-04 13:26:08,Type1,traffic lights
2024-11-04 13:26:10,Type2,motorcycles
2024-11-04 13:26:19,Type2,motorcycles
2024-11-04 13:26:28,SOLVED,captcha solved
