epochs,lr0,dropout,top1acc
5,0.01,0.0,0.812087893486023
5,0.01,0.1,0.8043956160545349
5,0.01,0.2,0.803296685218811
5,0.001,0.0,0.8131868243217468
5,0.001,0.1,0.8208791017532349
5,0.001,0.2,0.8164834976196289
5,0.0001,0.0,0.797802209854126
5,0.0001,0.1,0.795604407787323
5,0.0001,0.2,0.795604407787323
10,0.01,0.0,0.8494505286216736
10,0.01,0.1,0.8340659141540527
10,0.01,0.2,0.8329670429229736
10,0.001,0.0,0.8505494594573975
10,0.001,0.1,0.8373626470565796
10,0.001,0.2,0.8395604491233826
10,0.0001,0.0,0.8494505286216736
10,0.0001,0.1,0.8362637162208557
10,0.0001,0.2,0.8285714387893677
20,0.01,0.0,0.8428571224212646
20,0.01,0.1,0.8428571224212646
20,0.01,0.2,0.8560439348220825
20,0.001,0.0,0.8373626470565796
20,0.001,0.1,0.8384615182876587
20,0.001,0.2,0.8395604491233826
20,0.0001,0.0,0.8373626470565796
20,0.0001,0.1,0.8340659141540527
20,0.0001,0.2,0.8406593203544617
