epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.9769,0.20801,0.83846,0.99341,1.85684,0.00023744,0.00023744,0.00023744
2,27.7302,0.14547,0.81868,0.99011,1.88275,0.000451906,0.000451906,0.000451906
3,38.033,0.21203,0.72747,0.99121,1.97702,0.000642809,0.000642809,0.000642809
4,48.268,0.27463,0.77253,0.99011,1.93516,0.000607971,0.000607971,0.000607971
5,58.3634,0.28628,0.7978,0.99231,1.89714,0.000572628,0.000572628,0.000572628
6,68.5014,0.26279,0.8044,0.98681,1.89609,0.000537285,0.000537285,0.000537285
7,79.0264,0.24557,0.82088,0.98901,1.87734,0.000501942,0.000501942,0.000501942
8,89.7377,0.24596,0.7967,0.98571,1.9071,0.000466599,0.000466599,0.000466599
9,100.155,0.23374,0.8033,0.99231,1.8985,0.000431256,0.000431256,0.000431256
10,110.54,0.23054,0.81099,0.98901,1.88717,0.000395913,0.000395913,0.000395913
11,181.805,0.22494,0.80659,0.98571,1.88594,0.00036057,0.00036057,0.00036057
12,193.989,0.20589,0.82527,0.98242,1.87272,0.000325227,0.000325227,0.000325227
13,204.708,0.25702,0.82637,0.99011,1.87533,0.000289884,0.000289884,0.000289884
14,215.29,0.25959,0.82527,0.98681,1.87891,0.000254541,0.000254541,0.000254541
15,225.907,0.25068,0.82637,0.98901,1.87246,0.000219198,0.000219198,0.000219198
16,236.937,0.24703,0.83187,0.99011,1.87207,0.000183855,0.000183855,0.000183855
17,247.342,0.26026,0.84286,0.99121,1.86699,0.000148512,0.000148512,0.000148512
18,257.708,0.25254,0.85604,0.99011,1.86061,0.000113169,0.000113169,0.000113169
19,268.075,0.27403,0.83407,0.98901,1.87259,7.7826e-05,7.7826e-05,7.7826e-05
20,278.423,0.27092,0.84505,0.99341,1.85944,4.2483e-05,4.2483e-05,4.2483e-05
