epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,71.8382,0.29743,0.78901,0.99451,1.91276,0.00023744,0.00023744,0.00023744
2,84.8727,0.17353,0.76923,0.98901,1.93678,0.000428371,0.000428371,0.000428371
3,94.8177,0.23828,0.77582,0.98901,1.92604,0.000572179,0.000572179,0.000572179
4,104.541,0.28772,0.77143,0.98901,1.9222,0.000501942,0.000501942,0.000501942
5,114.687,0.2622,0.81319,0.98901,1.89115,0.000431256,0.000431256,0.000431256
6,124.803,0.24991,0.85055,0.98901,1.86471,0.00036057,0.00036057,0.00036057
7,135.378,0.2538,0.83846,0.99451,1.86523,0.000289884,0.000289884,0.000289884
8,145.193,0.48795,0.81538,0.9956,1.89447,0.000219198,0.000219198,0.000219198
9,155.255,0.43641,0.81978,0.99451,1.88835,0.000148512,0.000148512,0.000148512
10,165.282,0.4058,0.83187,0.99451,1.88229,7.7826e-05,7.7826e-05,7.7826e-05
