epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.7493,1.43048,0.67253,0.97582,2.06165,0.00332549,0.00332549,0.00332549
2,23.6963,1.00822,0.67912,0.95934,2.08216,0.0065929,0.0065929,0.0065929
3,33.003,1.13184,0.53516,0.89011,2.20898,0.00979431,0.00979431,0.00979431
4,42.6,1.26504,0.47802,0.91648,2.22487,0.009703,0.009703,0.009703
5,51.9663,1.08879,0.63297,0.96044,2.12318,0.009604,0.009604,0.009604
6,62.1045,0.97088,0.62857,0.96264,2.10117,0.009505,0.009505,0.009505
7,71.6614,0.90965,0.67802,0.97912,2.05762,0.009406,0.009406,0.009406
8,81.4684,0.89274,0.62418,0.97363,2.12604,0.009307,0.009307,0.009307
9,90.9975,0.84778,0.67802,0.97363,2.06257,0.009208,0.009208,0.009208
10,100.449,0.83467,0.72967,0.97033,2.0375,0.009109,0.009109,0.009109
11,109.984,0.81093,0.74505,0.98681,1.9972,0.00901,0.00901,0.00901
12,119.653,0.7838,0.75604,0.98132,1.98092,0.008911,0.008911,0.008911
13,128.906,0.77252,0.73187,0.98462,2.01549,0.008812,0.008812,0.008812
14,138.611,0.76554,0.74615,0.98242,2.0013,0.008713,0.008713,0.008713
15,148.014,0.74641,0.75824,0.98681,1.9793,0.008614,0.008614,0.008614
16,157.583,0.73315,0.75934,0.98571,1.97493,0.008515,0.008515,0.008515
17,166.863,0.73558,0.73187,0.98681,2.00488,0.008416,0.008416,0.008416
18,176.57,0.71838,0.77033,0.98901,1.97962,0.008317,0.008317,0.008317
19,186.006,0.69134,0.7956,0.99011,1.95749,0.008218,0.008218,0.008218
20,195.613,0.70115,0.79341,0.98681,1.96348,0.008119,0.008119,0.008119
21,205.398,0.69744,0.77143,0.98681,1.97695,0.00802,0.00802,0.00802
22,214.799,0.68409,0.81209,0.98901,1.9319,0.007921,0.007921,0.007921
23,224.373,0.67269,0.7978,0.98791,1.93828,0.007822,0.007822,0.007822
24,234.222,0.66314,0.77473,0.99121,1.95814,0.007723,0.007723,0.007723
25,243.959,0.65039,0.75604,0.98791,1.97467,0.007624,0.007624,0.007624
26,253.672,0.64886,0.78571,0.99341,1.9498,0.007525,0.007525,0.007525
27,263.099,0.64763,0.78352,0.99011,1.95911,0.007426,0.007426,0.007426
28,272.711,0.62993,0.81758,0.9967,1.91862,0.007327,0.007327,0.007327
29,282.184,0.62839,0.8,0.99451,1.93945,0.007228,0.007228,0.007228
30,291.856,0.61577,0.82967,0.99231,1.90807,0.007129,0.007129,0.007129
31,301.371,0.61115,0.78901,0.99451,1.93229,0.00703,0.00703,0.00703
32,311.389,0.60309,0.8011,0.99341,1.93392,0.006931,0.006931,0.006931
33,320.904,0.6109,0.79451,0.99231,1.93503,0.006832,0.006832,0.006832
34,330.323,0.60031,0.81209,0.99341,1.91771,0.006733,0.006733,0.006733
35,339.705,0.60833,0.81209,0.99231,1.90944,0.006634,0.006634,0.006634
36,349.41,0.57493,0.8,0.98791,1.92383,0.006535,0.006535,0.006535
37,358.543,0.57026,0.81319,0.9956,1.91562,0.006436,0.006436,0.006436
38,368.116,0.58516,0.82637,0.99231,1.91159,0.006337,0.006337,0.006337
39,377.327,0.57328,0.82637,0.99121,1.90482,0.006238,0.006238,0.006238
40,386.906,0.57141,0.81648,0.99231,1.91536,0.006139,0.006139,0.006139
